File,Term,Time
audio1.mp3,Массив,1:08 - 1:37
audio1.mp3,Индекс Элемента,1:44 - 1:59
audio2.mp3,Рекурсия,2:43 - 2:53
audio3.mp3,CSS-Препроцессоры,11:32 - 11:39
audio4.mp3,Маркетинг,5:48 - 6:20
audio4.mp3,Идея,9:11 - 9:38
audio4.mp3,Исследования,9:40 - 10:00
audio4.mp3,Процесс разработки,10:14:00 - 10:27
audio4.mp3,Дистрибуция,11:11 - 11:24
audio4.mp3,Стимулирование спроса,11:30 - 11:43
audio5.mp3,Переменная,14:38 - 15:04
audio5.mp3,Тип данных,15:04 - 15:19
audio6.mp3,Интерактивный режим,2:34 - 2:36
audio6.mp3,Интерпретатор,9:53 - 9:55
audio6.mp3,Функция input,10:28 - 10:32
